title,review,rating
2002 Dodge Ram Cargo Van 1500 3dr Van (3.9L 6cyl 3A),"It's been a great delivery vehicle for my cafe business good power, economy match easily taken care of. Havent repaired anything or replaced anything but tires and normal maintenance items. Upgraded tires to Michelin LX series helped fuel economy. Would buy another in a second",3.0
2002 Dodge Ram Cargo Van 3500 3dr Ext Van (5.2L 8cyl 4A),"Bought this car as a commuter vehicle for a van pool. I was very disappointed in the vehicle in comparison to a 1997 model I had previously. The motor was sluggish and tended to have a rough idle. The A/C was better than the old van, but still lacked a separate control for the front and back. What I was most disappointed with was that in moving up five years, I lost driver room, the ability to adjust the steering wheel to where I like it, and the passenger seats, by all accounts were less comfortable. What I noticed in driving is that the vehicle had a very large turning radius. Very difficult to maneuver in traffic.",2.0
2002 Dodge Ram Cargo Van 3500 Maxi 3dr Ext Van (5.2L 8cyl 4A),"This van rocks its the best, lots of 
 room. I carry a lot of cargo in mine 
 and i tow a lot too, it works great!",5.0
2001 Dodge Ram Cargo Van 2500 Maxi 3dr Ext Van (5.2L 8cyl 4A),"Great work vehicle. Drives nice. has lots of room. Easy to handle, bucket seats electric windows",4.0
2001 Dodge Ram Cargo Van 1500 3dr Van (3.9L 6cyl 3A),"Good solid frame and suspension. Well equipped, full power. Gauges and controls are well designed and located. Nice to drive once you are up and in. No leg room on passenger side. 318 engine seems very weak and some spark plugs are very hard to access. Terrible gas mileage (avg 12MPG). Sheet metal is flimsy and dents if you lean against it or bump it. Paint chips and scratches very easily. Sliding side door jumped the track and scraped the whole side of the van. Rear door caught in wind and pulled bolts out of frame. Three front windshields in three years (stress point in center?). No mechanical problems with drive train. Reliable. Still not the quality my older Dodge vans had.",3.0
2001 Dodge Ram Cargo Van 1500 3dr Van (3.9L 6cyl 3A),some very early body rust on roof,3.0
2003 Dodge Ram Cargo Van 2500 3dr Ext Van (5.2L 8cyl 4A),"Purchased the vehicle in 2003 second hand with 15000 miles from the owner (a one driver operator, not rental). This review was written in 2017 with only 110000 miles on it! It has been a great service van for my business but not without flaws. After warranty expired problems begin. Had to replace computer controller few times. Fuel hose went bad, chair adjustment lever broke, minor repairs here and there, water pump replaced, temperature control unit replaced, gas tank and pump replaced. Using a very accurate repair expenses controlled by business analysis I can say that the average repair cost is around $600 per year. This vehicle can't go farther than 10 trips without me worrying when would be the next problem. Dealer sticker say 12/15 miles per gallon but with very conservative driving my records show 17 miles per gallon. Overall I don't think it's the best value for vehicle but being optimistic as I am it is not the worst either. Hope this helps.",3.0
2003 Dodge Ram Cargo Van 1500 3dr Ext Van (3.9L 6cyl 3A),"Bought used with 34k,the conversion package by Elk automotive is top rate. Has leather, cd, dvd, rear air, tv, rear stereo, all the goodies. Very easy to drive despite its size, ride is nice and quiet inside. With the 318 engines and regular service these things are allmost bullet-proof. As most manufacturers produce very few of the large van conversions any more and the new ones costing 50k that are available, I feel that for 20k I stole this thing. One of the best things is it's still under warranty with Chryslers 7/70 plan. These are the only way to travel, if you are buying for everyday use, it's probably not the right vehicle.",3.0
2003 Dodge Ram Cargo Van 1500 3dr Ext Van (3.9L 6cyl 3A),This is a left over new van. Great deal,3.0
2003 Dodge Ram Cargo Van 1500 3dr Ext Van (3.9L 6cyl 3A),"I bought the van new with a conversion 
 package, Raised roof, TV, VCR etc..
 2003 leftover good deals still 
 available with zero financing. I have a 
 5.2 Ltr V-8, plenty of power, nice 
 tight smooth ride. A little short on 
 leg room but overall very comfortable. 
 Lots of windows, everyone gets a window 
 seat. It looks great, I've been getting 
 loads of compliments.You won't be 
 sorry.",3.0
2006 Dodge Magnum Wagon RT 4dr Wagon (5.7L 8cyl 5A),"Since ive had this car, the water pump, upper control arms, tie rod ends, gas tank, and thermostat had to be replaced in less than 4 months.",2.0
2006 Dodge Magnum Wagon RT 4dr Wagon AWD (5.7L 8cyl 5A),"Fuel sucks but comfort and power is awesome!!! Added exhaust and cold air intake to add more horsepower,overall, I would recommend to anyone.",3.0
2006 Dodge Magnum Wagon SXT 4dr Wagon AWD (3.5L 6cyl 5A),"I am a mechanic, I bought my 2006 Dodge Magnum 3.5 High Output AWD a year ago with 54,600 miles on it. As always, I performed a full vehicle check on the car before purchasing it. I loved this car, it was fast fun, elegant, and provided everything I needed, at first. Since I bought it I have had numerous mechanical, programing, and electrical issues currently totaling to $4,500 dollars. Just to give an idea, at 70,000 miles my throttle just went out (this isn't included in what I have already spent) and I now have to replace the entire intake system which is going to cost around $2,200 (these costs don't include mechanics fees, which will potentially double the costs) *A battery cost $300",3.0
2006 Dodge Magnum Wagon RT 4dr Wagon AWD (5.7L 8cyl 5A),"i own a 2006 rt with the hemi and let me tell u it one heck of a car i couldnt complain on any day of the week cause in the end of them all i have my magnum to run to and with , dodge did something not to many have and thats impress me",4.0
2006 Dodge Magnum Wagon RT 4dr Wagon AWD (5.7L 8cyl 5A),"I drove a Dodge Charger last year and like the ride, so when it was time for a new car I went for the Magnum. I like to be able to load stuff the flea market and go fishing so I went with the wagon. It was like driving a SUV, and the speed!!! I had to check myself a few times, but this is the most powerful car I ever had. I drove a Nissan Altima for 2 years and this is a whole new class of car. Stylish, fast, a real head turner. It had over 80,000 miles, but you can't tell by the way it rides and excels on the road. So far so good, it seem to be a well build wagon with AWD for the snow, glad that I got this....",3.0
2006 Dodge Magnum Wagon RT 4dr Wagon (5.7L 8cyl 5A),"I had many problems with my Magnum RT. Wheels started to corrode, transmission leaked, windshield wiper controls had to be replaced (all fixed under warranty). Had to replace factory tires at 31,000 miles, replaced a tie-rod at about 40,000 miles, and the brake rotors warped. Wiper controls were again acting up, and a noise started in the front suspension when I finally decided to trade it off. Loved the power and looks, but it had to go. Build and component quality was awful. This car turned me off of Dodge products.",3.0
2006 Dodge Magnum Wagon RT 4dr Wagon AWD (5.7L 8cyl 5A),"What an unbelievable machine. I have never driven anything like it. Perfectly engineered, meticulously designed. Simply perfect. It's time for Toyota to stop relentlessly pursuing perfection. Because Dodge got there first with the magnum rt. The power is unbelievable. Handling outstanding. And comfort is second to none. I've been a mustang owner and lover for the past 15 years. But now, after driving this magnum hemi for less than a week, I'm in love with it. With 82k miles it feels as if it just rolled off the assembly line and into my garage. Simply amazing automobile.",3.0
2006 Dodge Magnum Wagon RT 4dr Wagon AWD (5.7L 8cyl 5A),"Man, this thing is huge - at 4500 lbs it weighs as much my wife's mininvan! And, it drives like it, too - not exactly ""agile."" I would have never payed $35,000 for a new one, but for $13,000 w/65,000 miles I think it was a steal, and it's one of the coolest looking cars ever. Doesn't feel as fast as you might think it would, and gas mileage still not good even w/cylinder management. But, every time I look at it or smash the gas, it makes me smile. Oh, and it'll hold quite a bit of crap, too.",2.0
2006 Dodge Magnum Wagon SE 4dr Wagon (2.7L 6cyl 4A),"I am very happy with my magnum. I was looking a car with a lot of room. My magnum is a car with the space of a SUV. It has the small V6 so the gas mileage is not all that bad. I would of never got a SUV with 51,000 miles for the great price I paid for my car. My 2006 Magnum is like new.",3.0
2006 Dodge Magnum Wagon SE 4dr Wagon (2.7L 6cyl 4A),"Love the style. Mine has color matched 22"" chrome wheels...had a side wall puncture. Can't replace just one tire and had to go to several places to find a good tire in stock since I did not want to wait to order tires. Cost for 2 was pricey but that has nothing to do with the car. Also, to anyone thinking about beefing up the look with big tires and rims, okay for around town but you lose some of the quality in the ride. Have tried to figure out why but no one can give me an answer. Non the less, with the color coordinated rims (car is metallic red) it's an eye catcher. No mechanical problems. It's a 2006 SE 2.7 with 40,000. I wasn't looking to win a race and don't want a gas hog.",3.0
2006 Dodge Magnum Wagon RT 4dr Wagon AWD (5.7L 8cyl 5A),"Traved to Michigan from PA to by this car used with 28,000 on it.Downsized from a 01 AWD Towne and Country Limited.This car is fast without a doubt and functional to boot. I have hauled my 20' extension ladder and wheelbarrow in the back with the seats folded down. More than enough room for the dog. Had to replace both outer tie rods(under warranty) and o2 sensor (warranty ran out) but still happy with the vehicle. Will add roof rack.Great in the snow with snow tires as I have owned 4 wheel drive and AWD before.Got to have it here in this area. Have to wait and see how it holds up but so far so good.",3.0
2006 Dodge Magnum Wagon SE 4dr Wagon (2.7L 6cyl 4A),"This is a very large car that handles like a sports car. Corners flat, breaks straight, very comfortable ride and considering the too small engine, it has good acceleration. It does NOT like to pull a trailer, but if you're reasonable it's okay with that too. The drivers seat is far too narrow, I'm a big guy and have to find just the right spot to get comfortable. Some people don't like the sparten interior, but I like the design. However, a little less of a plastic look would be nice. The exterior design is outstanding and there are lots of storage pockets and nooks and crannies. The standard tires are just adequate, but in Canada you really do need snow tires for winter safety.",3.0
2006 Dodge Magnum Wagon RT 4dr Wagon AWD (5.7L 8cyl 5A),"Had my Maggie now for 28 months and 33,500 miles. Used Royal Purple since beginning. CAR has been the most reliable , fun , trouble free car I have ever had. Still sounds, feels, drives as I took it home. No issues what so ever. Very pleased that we own a car that was discontinued also.... So what.. The AWD system I have never felt safer behind the wheel of any 4x4. She is a tank and built well.. Keeping her forever...",3.0
2006 Dodge Magnum Wagon RT 4dr Wagon (5.7L 8cyl 5A),"I traded in my 3rd Yukon Denali 3 years ago for this car and I love it. I didn't need a big SUV, but I still needed the use of a utility vehicle for my business, kids and dogs. This car is great. I average 20mpg with the 5.7 Hemi. I can have my cake and eat it too. I leased the car back in 2006 and just thought I would lease or buy another car when my time was up, but Chrysler sent me an offer I couldn't refuse. If I buy the car at the end of the lease, Chrysler will take a substantial amount off the residual buyout amount in the contract, so Iv'e decided to buy the car. 3 years and 57K miles later I haven't had any problems except with the navi which is a minor repair hopefully.",3.0
2006 Dodge Magnum Wagon RT 4dr Wagon AWD (5.7L 8cyl 5A),"I needed to replace my aging and worn out Volvo 850 wagon. We are a family of 5 including two teenagers, one who is 6 feet tall. I needed a roomy car, that actually had legroom in the rear seat for my son. Short of buying a limo the Dodge LX cars are one of the only ones that fit the bill. I also wanted power and safety in the way of front and side air bags, trac control etc, etc. This car has it all in spades. I set out to but the 6cyl SXT but couldn't pass up the R/T when it crossed my tracks. If you are sensible on the throttle the R/T's fuel mileage is almost as good as the 3.5 SXT. My advice is if you have a choice, buy the R/T with the 5.7, it's way more fun and still decent on fuel.",3.0
2006 Dodge Magnum Wagon SXT 4dr Wagon AWD (3.5L 6cyl 5A),"I bought my '06 SXT RWD used in Nov. '06 with 13k miles. It now has nearly 81k miles. Overall, it's been very reliable...roomy, comfortable, fast, no rattles, and decent gas mileage (22 mpg avg. in mixed highway and city gridlock). The RWD has only been a problem once, in a very heavy snow. The front brake rotors were replaced at 38k, and will need to be replaced again soon. The original tires lasted to 71k. At approx. 75k, a rocker arm broke, a $500 fix. The mechanic says it's common, but not frequent, on the 3.5 liter motor. Other than that, just oil changes and tire rotation. I love the styling of the car, too bad it's been discontinued. Everyone who rides in it loves it!",3.0
2006 Dodge Magnum Wagon SE 4dr Wagon (2.7L 6cyl 4A),We bought the base Magnum back in July 05 when my wife totaled her PT Cruiser. This car is a great driving car and we get 24MPG overall with the 2.7 liter engine. Mileage is very comparable to the many small SUVs we were looking at before we decided to buy our Magnum. The 2.7L engine is lively and responsive and we've experienced no problems mechanically.,3.0
2006 Dodge Magnum Wagon SXT 4dr Wagon AWD (3.5L 6cyl 5A),"I traded in my beloved Avalanche on this black pearl magnum with the 18"" nice rims due to my wife not needing a huge vehicle anymore. One test drive, and found myself searching the globe for the Magnum I wanted. My wife begged me not to get rid of the Avalanche, but after a week of driving the Magnum, she hasn't looked back.",3.0
2006 Dodge Magnum Wagon SE 4dr Wagon (2.7L 6cyl 4A),This Inferno Red number turns the heads of young and old. This is not your ordinary grandad's wagon.,2.0
2006 Dodge Magnum Wagon SE 4dr Wagon (2.7L 6cyl 4A),"Bought my magnum last year for $27,500. Paid down loan to $22,500 today it's worth $11,000",3.0
2006 Dodge Magnum Wagon SE 4dr Wagon (2.7L 6cyl 4A),An excellent choice if you want stunning performance with functionality. I've owned many sporty cars but never one that I could load a full family and all luggage in with ease! The Magnum also has the looks to turn heads.,4.0
2006 Dodge Magnum Wagon SE 4dr Wagon (2.7L 6cyl 4A),"The SE is fun to drive, has wonderful racy styling and handles like a dream. It corners flat and holds the road beautifully. The 2.7 Liter engine is a little underpowered for the size of the vehicle, but considering it is such a small engine, I have no problem with available power. I purchased the 2.7 specifically because I wanted a vehicle that affords good fuel economy, and it delivers that plus I like driving the Magnum. I purchased the car in 2008 and am very happy with the value received. I get a car that looks and feels like a new car and the 2 years depreciation (60% off new price) give me a real bargain. I don't understand it but like getting such a great bargain!",3.0
2006 Dodge Magnum Wagon RT 4dr Wagon (5.7L 8cyl 5A),"I went from a 2006 Honda Odyssey (3 steering racks in 20,000 miles was 3 too many) to the RT. The cargo volume is not quite that of the van but it is good. Four guys and golf bags are handled with ease. The gas mileage to date (5500 miles) is one mile to the gallon worse than the Honda. The fun to drive factor is approximately 8.5 out of 10. If you have to drive a wagon this is the one that will make you smile. I can only imagine how much fun the SRT8 must be to drive. I am already planning some tweaks to the engine and suspension because the chassis is just so good that it begs for more power and better spring rates. This really is a great platform, hats off to the engineers at Dodge",3.0
2006 Dodge Magnum Wagon SXT 4dr Wagon AWD (3.5L 6cyl 5A),"I bought my 06' to replace my aging Durango and from day one it was a great choice. Even though I did not get the AWD, it still rocks in any weather, with the addition of Blizzaks for the winter. I'm 6'4"" and it is really comfortable, plus with two car seats in the back, the kids have enough room too. I put the whole family in and we go looking fo twisty turny roads to play on. With the autostick, I can run that car pretty hard and it just keeps asking for more. Cruises really nicely for the 25 mile each way commute, but gotta keep an eye on it. I tend to enjoy driving and sometimes look down and see 80 when I'm just having fun. Definitely a family car for dad to have fun in!",3.0
2006 Dodge Magnum Wagon RT 4dr Wagon (5.7L 8cyl 5A),"I purchased this car used with only 80 miles on it and got a super deal, number 1. I was statisfied with the price, leather , styling, sunroof, and the space. Hope it would be as powerful as my 1970 Cutlass which I missed dearly, and holy cow it was. Not only was it peppy and powerful but I had all the safety and comfort of a car built today. And yes, it does get good gas mileage when driven nicely, which I personally cannot do! Wish I did not have to deal with all the lovely traffic of NYC, then I can really open it up",3.0
2006 Dodge Magnum Wagon RT 4dr Wagon AWD (5.7L 8cyl 5A),"This is the best car we have ever owned. Powerful engine, quiet ride, sleek styling. Love the leather, heated seats, sunroof, and AWD!",3.0
2006 Dodge Magnum Wagon RT 4dr Wagon (5.7L 8cyl 5A),"Traded my Civic for this (too small) knowing that I would be giving up my great fuel economy and it was worth it! Tons of room, a blast to drive. Took it 3000 mi. to Florida and back and it drove like a dream. 23 MPG HWY and 17 City. Came back to a blizzard and this car is a tank! Worried about the RWD but it goes through snow like butter. Trying to keep my foot light on the gas to improve fuel economy but it's so hard! Even my husband and kids love it!",3.0
2006 Dodge Magnum Wagon RT 4dr Wagon (5.7L 8cyl 5A),"The best all around vehicle I've ever owned. Sporty, family fun, looks great inside and out. Rides, drives like I said all around.",4.0
2006 Dodge Magnum Wagon RT 4dr Wagon (5.7L 8cyl 5A),"I first owned a 2005 SXT Magnum, black w/tinted windows and 17"" alloy rims, I loved that car. My daughter said it looked like a hearse. It could have been an instant muscle car but the 3.5 L V6 just didn't have it.I mean the 3.5 is a great motor just not the Horse power I wanted. So I bought a 2006 SRT8 w/ the 6.1 L Hemi. Wow! It's balck just like the one before and a whole lot faster. The power is almost unbelivable between the two. I miss the all leather seats and moon roof the SXT had. The 20"" rims make for a little more bumpy ride but the handling is superior. Lots of power and good looks!It's what I wanted when I bought my first Magnum.",3.0
2006 Dodge Magnum Wagon SXT 4dr Wagon AWD (3.5L 6cyl 5A),"When my husband traded my PT Cruiser for a one year old Dodge Magnum, I was a little skeptical about the choice because it was so much larger than the Cruiser. Was I pleasantly surprised! I love this car; it is so comfortable, so easy to handle, and comes in handy on Fridays when I take friends to lunch. The ability to manuever the car is superior, I can back up easily into a parking space and it's great for hauling everything from the dogs to bags of mulch to groceries.",3.0
2006 Dodge Magnum Wagon SE 4dr Wagon (2.7L 6cyl 4A),"I have had a lot of performance cars in my life and this is one of the best. It is very useful as you can carry other people or use it to go to the hardware store. It is fast and fun to drive on top of that. It handles very good and rides really nice on the highway. I had the RT before my SRT8 and both of these cars are real nice. It reminds me of my younger days in the 60's when a lot of people had ""sleeper wagons."" It runs with most cars on the street and yet gets great gas mileage. 425 HP and I am averaging between 19 and 21 MPG. Depends on how many times you put your foot into it. How can you beat that? I sure wish it had a 6-speed stick though, see my comment below.",3.0
2006 Dodge Magnum Wagon SE 4dr Wagon (2.7L 6cyl 4A),"I had this car for 6 months now and have had no problems at all. It runs and drives great. I would like to see a little more power but that is my fault for buying the one with the small engine, (for gas mileage reasons), and it does get excellent fuel mileage.",3.0
