ID,car_name,Consumer reviews,review1,review2,review3,combined_reviews,sentiment_scores,compound,rating
1,audi A1,0.0,Blank,Blank,Blank,Blank Blank Blank,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,3
2,audi A6,4.6,"I had looked at the Mercedes E Class, BMW 5 Series and the Lexus GS. I thought the Audi drove and handled better; and although a personal opinion, I liked the exterior and interior styling better than the other cars. I previously had a 2009 Audi A6 3.2 Quatro and I was planning on buying another 6 cylinder car. However, I was very surprised with the power of the 4 cylinder turbo and its?lack of NHV, so I bought a car with that engine in Quatro trim. I have not regretted buying the 4 cylinder car and found it to be more than adequate for my typical driving style and commute. Also, when I let friends drive the car, they are surprised it is not a 6 cylinder.","This car seems to eat oil. I bought this vehicle used with 33k miles on it from and audi dealership in peoria az in May of 2016. with in a week of owning it it was in the shop for the o2 sensor. Normal and under warranty so I didn't pay attention. Took it back in on October because i had had to put 2 quarts of oil through. Had an oil consumption study test done. Audi says oil consumption?of 1qt every 1.5k miles is normal and not a problem. Fast forward to Apr 2017, CEL came back on, took to dealership and the same o2 sensor was bad again. they couldn't fix it then due to recall filling up their garage. One week later while driving i hit the breaks hard and the car warning lights came on saying that it was out of oil. had to put 1 quart of oil in it right away and took back to dealership. They said it was 1.5 quarts low meaning that my car was 2.5 quarts low without any oil level warnings going off. This car has no dipstick and the oil is electronically monitored. Raised hell about oil consumption and they finally dig a diagnostic. My oil sensor was dead. They replaced it. May 2017 driving to work lost power and the car was stuttering. Took the car to another dealership in scottsdale. 4th cylinder ring failure, only able to hold compression of 35psi, replacing the engine. 48k miles and 2 months out of factory warranty. Audi won't do anything about it...looks bad for them. I bought my wife a q5 from the same dealership after i bought my a6. We traded in her q5 for a lexus nx200t as soon as we started having problems with the a6. So i have a car that bought with 33k miles on it and put 15k highway miles on it commuting in 1 year and the engine is blown and needs to be replaced. Pass on this vehicle. in fact run away.","I had a chance to test drive the 2012 Jag XF and the BMW 535 and 550. I opted out of Mercedes finding the styling of the E-class too uninspiring. the A6 which in my mind was perfect. The car is easy to maneuver at low speeds which the steering tightening up at higher speeds. The build quality is impeccable. The styling is more forward thinking than that of MB and Lexus. The LEDs set the car apart as does that Bang and Olufsen sound system. I found the Audi MMI very intuitive and actually fun to operate. The A6 3.0t is a fast engine with a transmission and chassis that makes it feel like the car is hardly working at high speeds. Plain and simple, it puts a smile on my face every day. ","I had looked at the Mercedes E Class, BMW 5 Series and the Lexus GS. I thought the Audi drove and handled better; and although a personal opinion, I liked the exterior and interior styling better than the other cars. I previously had a 2009 Audi A6 3.2 Quatro and I was planning on buying another 6 cylinder car. However, I was very surprised with the power of the 4 cylinder turbo and its?lack of NHV, so I bought a car with that engine in Quatro trim. I have not regretted buying the 4 cylinder car and found it to be more than adequate for my typical driving style and commute. Also, when I let friends drive the car, they are surprised it is not a 6 cylinder. This car seems to eat oil. I bought this vehicle used with 33k miles on it from and audi dealership in peoria az in May of 2016. with in a week of owning it it was in the shop for the o2 sensor. Normal and under warranty so I didn't pay attention. Took it back in on October because i had had to put 2 quarts of oil through. Had an oil consumption study test done. Audi says oil consumption?of 1qt every 1.5k miles is normal and not a problem. Fast forward to Apr 2017, CEL came back on, took to dealership and the same o2 sensor was bad again. they couldn't fix it then due to recall filling up their garage. One week later while driving i hit the breaks hard and the car warning lights came on saying that it was out of oil. had to put 1 quart of oil in it right away and took back to dealership. They said it was 1.5 quarts low meaning that my car was 2.5 quarts low without any oil level warnings going off. This car has no dipstick and the oil is electronically monitored. Raised hell about oil consumption and they finally dig a diagnostic. My oil sensor was dead. They replaced it. May 2017 driving to work lost power and the car was stuttering. Took the car to another dealership in scottsdale. 4th cylinder ring failure, only able to hold compression of 35psi, replacing the engine. 48k miles and 2 months out of factory warranty. Audi won't do anything about it...looks bad for them. I bought my wife a q5 from the same dealership after i bought my a6. We traded in her q5 for a lexus nx200t as soon as we started having problems with the a6. So i have a car that bought with 33k miles on it and put 15k highway miles on it commuting in 1 year and the engine is blown and needs to be replaced. Pass on this vehicle. in fact run away. I had a chance to test drive the 2012 Jag XF and the BMW 535 and 550. I opted out of Mercedes finding the styling of the E-class too uninspiring. the A6 which in my mind was perfect. The car is easy to maneuver at low speeds which the steering tightening up at higher speeds. The build quality is impeccable. The styling is more forward thinking than that of MB and Lexus. The LEDs set the car apart as does that Bang and Olufsen sound system. I found the Audi MMI very intuitive and actually fun to operate. The A6 3.0t is a fast engine with a transmission and chassis that makes it feel like the car is hardly working at high speeds. Plain and simple, it puts a smile on my face every day. ","{'neg': 0.063, 'neu': 0.874, 'pos': 0.062, 'compound': -0.3584}",-0.3584,1
3,audi A4,4.6,"Best car I've ever owned, hands down. I am a 3 time A4 owner and love the significant improvements they've made in the 2018. Sport Package and Black Optics set off the look and the front sport seats grip my body in spirited driving. Dynamic blend of performance and luxury. 100% would buy again","Traded in my 2005.5 A-4, which I dearly loved and still miss to this day. As the cars are night and day different, there was a lengthy learning curve with the new one, both sticks by the way. I miss the old days when I figured out who was around me and I determined the best time to hit the brake! The first few times the car braked for me I freaked out! This one handles well but not exceptionally like my old one. ItÂfs darn fast though and well-made, and quite handsome. The Bang and Olafson is superb. The tranny is smooth and effortless. My two major complaints, the brakes are annoyingly grabby, and the cruise-control stalk is dangerously close to my knee, and IÂfm not that tall. I accidentally engaged it once and it was downright scary. The mileage is very good, and weÂfre getting used to one another slowly but surely. One last thing...I went to check the oil and couldnÂft find the dipstick. Why? Because there is none. ",Easily the best machine I have owned or driven. The A4 is light on its feet and will simply outrun my former Subbie WRX and does not rob you of your dental fillings doing it. Fit and finish is excellent. I like the styling. Not so much flourish and swoops as now appears the vogue with Lexus. I also have owned Lexus IS 250. Not even close to Audi anymore. Don't know what Lexus is thinking these days.,"Best car I've ever owned, hands down. I am a 3 time A4 owner and love the significant improvements they've made in the 2018. Sport Package and Black Optics set off the look and the front sport seats grip my body in spirited driving. Dynamic blend of performance and luxury. 100% would buy again Traded in my 2005.5 A-4, which I dearly loved and still miss to this day. As the cars are night and day different, there was a lengthy learning curve with the new one, both sticks by the way. I miss the old days when I figured out who was around me and I determined the best time to hit the brake! The first few times the car braked for me I freaked out! This one handles well but not exceptionally like my old one. ItÂfs darn fast though and well-made, and quite handsome. The Bang and Olafson is superb. The tranny is smooth and effortless. My two major complaints, the brakes are annoyingly grabby, and the cruise-control stalk is dangerously close to my knee, and IÂfm not that tall. I accidentally engaged it once and it was downright scary. The mileage is very good, and weÂfre getting used to one another slowly but surely. One last thing...I went to check the oil and couldnÂft find the dipstick. Why? Because there is none.  Easily the best machine I have owned or driven. The A4 is light on its feet and will simply outrun my former Subbie WRX and does not rob you of your dental fillings doing it. Fit and finish is excellent. I like the styling. Not so much flourish and swoops as now appears the vogue with Lexus. I also have owned Lexus IS 250. Not even close to Audi anymore. Don't know what Lexus is thinking these days.","{'neg': 0.082, 'neu': 0.753, 'pos': 0.165, 'compound': 0.9823}",0.9823,5
4,audi A3,5.0,"I am so impressed with the new A3, itÂfs quick, it handles great, and it has great luxury. You get a car that has all wheel drive and gets amazing gas mileage on regular fuel with the hybrid system. To me itÂfs the perfect car.","I must I love my car, we originally went in looking for a Audi A5 but when we was showed this car. We feel in love with it. It drives so smooth and I love all the bells and whistles especially the wireless charger.",,"I am so impressed with the new A3, itÂfs quick, it handles great, and it has great luxury. You get a car that has all wheel drive and gets amazing gas mileage on regular fuel with the hybrid system. To me itÂfs the perfect car. I must I love my car, we originally went in looking for a Audi A5 but when we was showed this car. We feel in love with it. It drives so smooth and I love all the bells and whistles especially the wireless charger. ","{'neg': 0.0, 'neu': 0.753, 'pos': 0.247, 'compound': 0.9789}",0.9789,5
5,audi Q3,5.0,"While I am reviewing the Q3 I got a mere five days into my three year lease , I couldnÂft be happier with the car. It is solid and drives accordingly. Quiet, comfortable and luxurious, this is a quality ride. It has good get up and go with the 45 engine, and while I havenÂft been able to race around In it yet, driving is fun.",I transport my most price possessions in this vehicle such as my children. I feel safe and secure. My Q3 is by far the safest car IÂfve ever driven. The lane assistance is great almost like the car is driving itself. ItÂfs just a dream come true for moms and busy women. I wouldnÂft want any other car except this one.,Prepare to be impressed and pay for gas,"While I am reviewing the Q3 I got a mere five days into my three year lease , I couldnÂft be happier with the car. It is solid and drives accordingly. Quiet, comfortable and luxurious, this is a quality ride. It has good get up and go with the 45 engine, and while I havenÂft been able to race around In it yet, driving is fun. I transport my most price possessions in this vehicle such as my children. I feel safe and secure. My Q3 is by far the safest car IÂfve ever driven. The lane assistance is great almost like the car is driving itself. ItÂfs just a dream come true for moms and busy women. I wouldnÂft want any other car except this one. Prepare to be impressed and pay for gas","{'neg': 0.009, 'neu': 0.753, 'pos': 0.238, 'compound': 0.9868}",0.9868,5
6,audi Q5,5.0,Great suv with many bells and whistles. Smooth ride with adequate pickup. Lots of of technology that for an older person like myself can be difficult. However Audi supples on line many tutorials which are a huge help.,"I am in love with my new Q5, purchased from Audi Owings Mills, MD. I looked at several other similar SUVs (different brands), and a fully-loaded 'other brand' vehicle did not even come close to my Q5 - which is only a Premium (base) model. The ride is smooth, quiet, and it handles the road so well. It is a luxurious car. I cannot say enough about my new Q5. I highly recommend it!",Just purchased my SUV from Audi Plano. Love it. Drives fantastic. Getting so many complements.,"Great suv with many bells and whistles. Smooth ride with adequate pickup. Lots of of technology that for an older person like myself can be difficult. However Audi supples on line many tutorials which are a huge help. I am in love with my new Q5, purchased from Audi Owings Mills, MD. I looked at several other similar SUVs (different brands), and a fully-loaded 'other brand' vehicle did not even come close to my Q5 - which is only a Premium (base) model. The ride is smooth, quiet, and it handles the road so well. It is a luxurious car. I cannot say enough about my new Q5. I highly recommend it! Just purchased my SUV from Audi Plano. Love it. Drives fantastic. Getting so many complements.","{'neg': 0.017, 'neu': 0.774, 'pos': 0.209, 'compound': 0.9814}",0.9814,5
7,audi A5,5.0,"This car is as fun to drive as it is to look at. It's responsive, quiet, and easy to get comfortable with it's controls and settings!",,,"This car is as fun to drive as it is to look at. It's responsive, quiet, and easy to get comfortable with it's controls and settings!  ","{'neg': 0.0, 'neu': 0.642, 'pos': 0.358, 'compound': 0.906}",0.906,5
8,audi S4,2.0,"I have owned a lot of cars over 30 cars in my lifetime and my 2022 S4 is the most disappointing of all after 3 months of ownership. First off, I only received 1 key and dealer told me the 2nd would be mailed in 30 days because of chip shortage. It's been 90 days and now I am told another 90 days. I get different stories from Audi Customer Service and the dealer, so I do not know who to?believe. This is an incovenience as my wife and I share the car. #2, The Audi Connect does not work. We have tried everything with Audi Corporate and the dealer and gave up. #3, The technology is just clunky and you are required to push too many buttons compared to our 2018 Audi. #4. One of the rear seat belt receivers stopped working, so the right rear seat is useless. #5. The ride is a bit harsh for a sports sedan. I am not expecting a Cadillac ride, but you feel every little crack in the road. I loved my 2018 A4 and really regret the 2022 S4. We are looking to trade it in on a different brand after 3 months and 1400 miles.",,,"I have owned a lot of cars over 30 cars in my lifetime and my 2022 S4 is the most disappointing of all after 3 months of ownership. First off, I only received 1 key and dealer told me the 2nd would be mailed in 30 days because of chip shortage. It's been 90 days and now I am told another 90 days. I get different stories from Audi Customer Service and the dealer, so I do not know who to?believe. This is an incovenience as my wife and I share the car. #2, The Audi Connect does not work. We have tried everything with Audi Corporate and the dealer and gave up. #3, The technology is just clunky and you are required to push too many buttons compared to our 2018 Audi. #4. One of the rear seat belt receivers stopped working, so the right rear seat is useless. #5. The ride is a bit harsh for a sports sedan. I am not expecting a Cadillac ride, but you feel every little crack in the road. I loved my 2018 A4 and really regret the 2022 S4. We are looking to trade it in on a different brand after 3 months and 1400 miles.  ","{'neg': 0.061, 'neu': 0.907, 'pos': 0.032, 'compound': -0.5}",-0.5,1
9,audi Q2,0.0,Blank,Blank,Blank,Blank Blank Blank,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,3
10,audi A7,2.0,"I purchased the 2019 A7 premium plus. In the four months since ownership, the vehicle had a few issues. Upon entering the highway from a stop, the vehicle rolled backwards and the rear view camera turned on. On another occasion, the vehicle braked unexpectedly. There were also warning lights and error messages that would come on, but when you restart the vehicle, the messages would?go away. The A7 is a beautiful vehicle, but needs some updates to correct the technical problems.","Our two month old 2019 Audi A7 (there was no option to review the 2019 model) had to be towed to the dealer leaving us stranded 200 miles from home. Had low tire pressure warning several times ? dealer checked it out and said everything was fine. The check engine light had been on for a couple of weeks which the dealer said could wait till we got back from our trip. Had a brief message?about some system failing, had very slow acceleration which we understand was a turbo problem. Closing the sunroof takes multiple attempts ? just before closing the sunroof keeps retracting.","Had to replace tires and car only has 9,000 miles and they are super expesive... audi selected poor quality brand brand bridgestone tires ","I purchased the 2019 A7 premium plus. In the four months since ownership, the vehicle had a few issues. Upon entering the highway from a stop, the vehicle rolled backwards and the rear view camera turned on. On another occasion, the vehicle braked unexpectedly. There were also warning lights and error messages that would come on, but when you restart the vehicle, the messages would?go away. The A7 is a beautiful vehicle, but needs some updates to correct the technical problems. Our two month old 2019 Audi A7 (there was no option to review the 2019 model) had to be towed to the dealer leaving us stranded 200 miles from home. Had low tire pressure warning several times ? dealer checked it out and said everything was fine. The check engine light had been on for a couple of weeks which the dealer said could wait till we got back from our trip. Had a brief message?about some system failing, had very slow acceleration which we understand was a turbo problem. Closing the sunroof takes multiple attempts ? just before closing the sunroof keeps retracting. Had to replace tires and car only has 9,000 miles and they are super expesive... audi selected poor quality brand brand bridgestone tires ","{'neg': 0.138, 'neu': 0.808, 'pos': 0.054, 'compound': -0.9536}",-0.9536,1
